datetime,temp,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,uvindex,sunrise,sunset,rain,cloudy
2016-01-01,27,28.9,23.4,81.6,0.841,8.33,40.7,8.9,327.6,1013.5,89.8,9.1,7,2016-01-01T07:18:08Z,2016-01-01T19:14:40Z,1,1
2016-01-02,27.8,30,22.8,75.7,0.046,4.17,35.3,15.5,318.3,1013.5,89,9.9,7,2016-01-02T07:18:36Z,2016-01-02T19:15:10Z,1,1
2016-01-03,27.8,30.7,24.1,81.2,3.536,4.17,18,14.3,273.1,1013.3,89.4,8.8,9,2016-01-03T07:19:02Z,2016-01-03T19:15:39Z,1,1
2016-01-04,27.9,30.3,24.1,81.2,13.261,4.17,20.2,17.3,234.3,1012.8,89.8,8.6,8,2016-01-04T07:19:29Z,2016-01-04T19:16:08Z,1,1
2016-01-05,28.1,30.6,24.5,82,5.304,4.17,20.9,16.1,253.8,1012.2,90.2,8.4,8,2016-01-05T07:19:54Z,2016-01-05T19:16:37Z,1,2
2016-01-06,28.5,32.4,25.1,82.9,4.597,8.33,23,17.7,256.2,1012,88.9,7.1,8,2016-01-06T07:20:20Z,2016-01-06T19:17:05Z,1,1
2016-01-07,28.9,31.9,23.6,75.3,0,0,22.7,13,199.3,1012.4,88.9,8.6,9,2016-01-07T07:20:44Z,2016-01-07T19:17:33Z,0,1
2016-01-08,28.8,32.1,23.9,76.1,0,0,27.7,15.7,290.3,1011.9,88.9,8.7,8,2016-01-08T07:21:08Z,2016-01-08T19:18:01Z,0,1
2016-01-09,28.3,31,23.6,76.1,0,0,31.7,13.9,238.3,1011.5,88.6,8.2,9,2016-01-09T07:21:32Z,2016-01-09T19:18:28Z,0,1
2016-01-10,28.8,31.8,23.6,74.9,0,0,25.6,14.6,222.1,1011.6,88.9,8.9,9,2016-01-10T07:21:55Z,2016-01-10T19:18:55Z,0,1
2016-01-11,28.8,32.1,23.7,75.4,5.304,4.17,28.8,13,292.9,1011.5,88.9,8.5,9,2016-01-11T07:22:17Z,2016-01-11T19:19:21Z,1,1
2016-01-12,27.9,29.7,23.7,79.3,6.188,4.17,22.7,15.9,231.8,1010.4,88.9,8.8,8,2016-01-12T07:22:39Z,2016-01-12T19:19:47Z,1,1
2016-01-13,28.8,32,24,77.4,0.177,4.17,23.4,16.1,239.9,1009.6,88.9,7.8,9,2016-01-13T07:23:00Z,2016-01-13T19:20:13Z,1,1
2016-01-14,27.9,30.8,24.1,80.9,8.133,12.5,28.1,15.9,301.3,1010,89,8.8,8,2016-01-14T07:23:20Z,2016-01-14T19:20:38Z,1,1
2016-01-15,26.8,28.5,24.5,88.1,8.96666590906262,8.33,21.6,14.1,269.6,1009.5,90.6,7.9,7,2016-01-15T07:23:40Z,2016-01-15T19:21:02Z,1,2
2016-01-16,27.4,29.5,24.7,86.2,9.841,8.33,21.6,12.5,261.9,1009.3,89,8.2,7,2016-01-16T07:23:59Z,2016-01-16T19:21:26Z,1,1
2016-01-17,27.6,30.6,24.6,84.4,4.443,8.33,22,16.6,301.1,1009.8,89.4,8.2,6,2016-01-17T07:24:17Z,2016-01-17T19:21:49Z,1,1
2016-01-18,27.7,30.2,24.8,85.3,15.438,12.5,24.5,16.1,198.7,1009.4,89,8.3,9,2016-01-18T07:24:34Z,2016-01-18T19:22:12Z,1,1
2016-01-19,27.5,29.6,24.3,83.3,3.362,4.17,42.5,21.4,244,1010.2,89,8.1,9,2016-01-19T07:24:50Z,2016-01-19T19:22:34Z,1,1
